Timestamp,Wind speed (m/s),Wind direction (°),Nacelle position (°),Energy Export (kWh),Power (kW),Rotor current (A),Rotor speed (RPM),Generator RPM (RPM),"Generator RPM, Max (RPM)","Generator RPM, Min (RPM)","Generator RPM, Standard deviation (RPM)","Rotor speed, Max (RPM)","Rotor speed, Min (RPM)","Rotor speed, Standard deviation (RPM)",Blade angle (pitch position) (°),"Blade angle (pitch position), Max (°)","Blade angle (pitch position), Min (°)","Blade angle (pitch position), Standard deviation (°)",Grease left generator bearing,Grease left shaft bearing,direccion (grados),presion (hPa),Xpos,Ypos,Zpos,Turbine
2018-01-01 03:50:00,4.03157901763916,329.030487060547,330.0,42.0,220.752624511719,156.026321411133,9.86315727233887,1050.30529785156,1054.5,1046.59997558594,2.28277730941772,9.89999961853027,9.80000019073486,0.048237361013889,2.12631726264954,2.59999990463257,1.39999997615814,0.336924314498901,0.0,0.0,138.138000488281,993.669982910156,529117,6281142,174,WTG-1
2018-01-01 04:00:00,3.84999990463257,332.759582519531,330.0,36.0,216.75,156.065002441406,9.88500022888184,1052.51000976563,1081.19995117188,1047.19995117188,6.94001293182373,10.1999998092651,9.80000019073486,0.085293471813202,2.30500054359436,2.79999995231628,1.70000004768372,0.265471279621124,0.0,0.0,138.1259765625,993.640014648438,529117,6281142,174,WTG-1
2018-01-01 04:10:00,4.19000005722046,335.701416015625,334.050018310547,38.0,291.119995117187,161.955001831055,9.90499973297119,1053.4150390625,1085.09997558594,1046.69995117188,8.40150356292725,10.1999998092651,9.80000019073486,0.097339577972889,1.96000063419342,2.5,1.29999995231628,0.369323700666428,0.0,0.0,137.985702514648,993.674987792969,529117,6281142,174,WTG-1
2018-01-01 04:20:00,4.42000007629395,323.571044921875,329.996032714844,46.0,275.945007324219,164.139999389648,9.97500038146973,1064125,1163.0,1044.0,33.7504806518555,10.8999996185303,9.80000019073486,0.3299620449543,1.63502037525177,2.59999990463257,-0.100000001490116,0.770243465900421,0.0,0.0,136.554718017578,993.772216796875,529117,6281142,174,WTG-1
2018-01-01 04:30:00,7.05000019073486,320.952178955078,325.0,58.0,706.614990234375,270.285003662109,12.7749996185303,1362.67004394531,1456.0,1158.90002441406,88.563362121582,13.6000003814697,10.8999996185303,0.812942206859589,359.684997558594,0.5,-0.800000011920929,0.38506492972374,0.0,0.0,129.00471496582,993.684997558594,529117,6281142,174,WTG-1
2018-01-01 04:40:00,7.78000020980835,322.705261230469,325.0,134.0,877.190002441406,306.760009765625,13.6800003051758,1458.07495117187,1510.0,1405.59997558594,27.2189598083496,14.1000003814697,13.1999998092651,0.244131147861481,359.234985351562,-0.600000023841858,-1.0,0.119478024542332,0.0,0.0,126.032638549805,993.721069335938,529117,6281142,174,WTG-1
2018-01-01 04:50:00,7.40000009536743,322.594787597656,325.0,144.0,710.863159179688,266.194732666016,12.752631187439,1356.02099609375,1422.59997558594,1264.0,43.9912376403809,13.3999996185303,11.8999996185303,0.400484472513199,359.173675537109,-0.5,-1.0,0.129135206341744,0.0,0.0,122.093894958496,993.794982910156,529117,6281142,174,WTG-1
2018-01-01 05:00:00,7.47000026702881,319.315460205078,325.0,114.0,746.385009765625,276.964996337891,13.0200004577637,1386.90002441406,1441.59997558594,1327.09997558594,24.3762378692627,13.5,12.5,0.222710639238358,359.25,-0.400000005960465,-1.0,0.15968719124794,0.0,0.0,123.695243835449,993.840026855469,529117,6281142,174,WTG-1
2018-01-01 05:10:00,6.17999982833862,317.175018310547,321.149475097656,118.0,489.470001220703,205.414993286133,11.1999998092651,1192.59497070313,1337.30004882813,1122.19995117188,52.5721473693848,12.6000003814697,10.5,0.495983839035034,359.535003662109,0.100000001490116,-0.899999976158142,0.249549582600594,0.0,0.0,127.898872375488,993.955017089844,529117,6281142,174,WTG-1
2018-01-01 05:20:00,5.76999998092651,318.624786376953,320.0,70.0,385.765014648437,181.595001220703,10.4449996948242,1112.02001953125,1187.59997558594,1041.69995117188,37.1947479248047,11.1999998092651,9.80000019073486,0.365342289209366,359.484985351562,0.0,-0.899999976158142,0.253525137901306,0.0,0.0,125.975273132324,994.063171386719,529117,6281142,174,WTG-1
2018-01-01 05:30:00,3.75500011444092,323.328979492187,320.249725341797,56.0,184.445007324219,162.035003662109,9.84999942779541,1049.55004882813,1052.59997558594,1044.80004882813,2.08171010017395,9.89999961853027,9.80000019073486,0.049999713897705,2.01000952720642,2.79999995231628,0.699999988079071,0.627614557743073,0.0,0.0,129.904541015625,994.075012207031,529117,6281142,174,WTG-1
2018-01-01 05:40:00,5.51999998092651,352.829864501953,347.9794921875,34.0,372.725006103516,186.014999389648,10.5249996185303,1122.13000488281,1379.59997558594,1049.40002441406,94.2232208251953,12.8999996185303,9.89999961853027,0.875714063644409,0.17496632039547,2.20000004768372,-0.699999988079071,0.709136784076691,0.0,0.0,141.385192871094,994.280029296875,529117,6281142,174,WTG-1
2018-01-01 05:50:00,7.05999994277954,16.9655475616455,12.9084949493408,88.0,771.380004882812,286.399993896484,13.1350002288818,1399.93994140625,1517.80004882813,1312.0,47.6033134460449,14.3000001907349,12.3000001907349,0.459646642208099,359.880004882812,0.400000005960465,-0.5,0.233666434884071,0.0,0.0,166.942367553711,994.390014648437,529117,6281142,174,WTG-1
2018-01-01 06:00:00,7.50526332855225,5.18296432495117,8.62681484222412,128.0,864.031555175781,307.4052734375,13.6526317596436,1454.32629394531,1650.19995117188,1283.40002441406,104.001167297363,15.5,12.0,0.979456603527069,359.642120361328,0.100000001490116,-0.699999988079071,0.198191270232201,0.0,0.0,171.935363769531,994.350036621094,529117,6281142,174,WTG-1
2018-01-01 06:10:00,7.46666669845581,0.728469133377075,2.0,166.0,914.919067382813,309.033325195312,13.7238092422485,1461.25231933594,1616.40002441406,1341.69995117188,85.5237655639649,15.1999998092651,12.6000003814697,0.809999823570251,359.533325195313,-0.200000002980232,-0.699999988079071,0.152232065796852,0.0,0.0,164.149490356445,994.470031738281,529117,6281142,174,WTG-1
2018-01-01 06:20:00,7.05999994277954,355.820007324219,2.0,134.0,671.844970703125,258.334991455078,12.5149993896484,1333.50500488281,1385.90002441406,1285.59997558594,30.7193717956543,13.0,12.0,0.290301501750946,359.515014648438,-0.200000002980232,-0.899999976158142,0.155804365873337,0.0,0.0,158.950225830078,994.649963378906,529117,6281142,174,WTG-1
2018-01-01 06:30:00,6.76666688919067,355.138793945313,2.0,112.0,692.172241210938,261.488891601562,12.6055555343628,1343.40551757813,1409.40002441406,1279.0,31.0205974578857,13.1999998092651,12.0,0.300873190164566,359.672210693359,0.100000001490116,-0.699999988079071,0.193808481097221,0.0,0.0,156.449630737305,994.690002441406,529117,6281142,174,WTG-1
2018-01-01 06:40:00,6.79523801803589,0.079096019268036,2.0,110.0,678.514282226563,261.338104248047,12.6095237731934,1341.91906738281,1471.59997558594,1249.80004882813,47.7478446960449,13.8000001907349,11.6999998092651,0.455552816390991,359.785705566406,0.200000002980232,-0.699999988079071,0.243556424975395,0.0,0.0,157.899520874023,994.760009765625,529117,6281142,174,WTG-1
2018-01-01 06:50:00,7.32000017166138,5.93017101287842,2.0,120.0,840.179992675781,300.964996337891,13.5500001907349,1443.8349609375,1561.40002441406,1321.90002441406,68.9817504882813,14.6000003814697,12.3999996185303,0.641482710838318,359.864990234375,0.200000002980232,-0.600000023841858,0.215116247534752,0.0,0.0,164.526916503906,994.842102050781,529117,6281142,174,WTG-1
2018-01-01 07:00:00,7.24499988555908,3.96003937721252,2.0,150.0,869.739990234375,303.475006103516,13.5999994277954,1448.96496582031,1529.80004882812,1347.40002441406,44.7002372741699,14.3999996185303,12.6999998092651,0.418329983949661,359.859985351562,0.200000002980232,-0.5,0.195959180593491,0.0,0.0,163.239593505859,994.857116699219,529117,6281142,174,WTG-1
2018-01-01 07:10:00,7.55263137817383,359.510772705078,2.0,144.0,977.205261230469,329.305267333984,14.2105264663696,1512.13684082031,1634.19995117188,1393.40002441406,63.9319190979004,15.3999996185303,13.1000003814697,0.611206471920013,359.742095947266,0.300000011920929,-0.600000023841858,0.230139076709747,0.0,0.0,161.44938659668,994.72998046875,529117,6281142,174,WTG-1
2018-01-01 07:20:00,7.69999980926514,2.75717377662659,2.0,176.0,1067.41430664063,345.076202392578,14.533332824707,1547.37622070313,1664.59997558594,1377.90002441406,80.2288436889648,15.8000001907349,12.8999996185303,0.773571491241455,359.742858886719,0.200000002980232,-0.600000023841858,0.223758861422539,0.0,0.0,161.262466430664,994.878967285156,529117,6281142,174,WTG-1
2018-01-01 07:30:00,7.17894744873047,1.44811105728149,2.0,166.0,869.815795898438,299.105255126953,13.4842100143433,1436.14208984375,1677.69995117188,1300.09997558594,98.739860534668,15.8000001907349,12.1999998092651,0.93991219997406,359.789459228516,0.5,-0.800000011920929,0.312704235315323,0.0,0.0,160.262969970703,995.115783691406,529117,6281142,174,WTG-1
2018-01-01 07:40:00,7.28235292434692,358.853698730469,2.0,144.0,855.194091796875,301.552947998047,13.5823526382446,1446.20593261719,1561.69995117188,1338.59997558594,57.8477058410645,14.6999998092651,12.6000003814697,0.540408611297607,359.811767578125,0.300000011920929,-0.5,0.199653685092926,0.0,0.0,157.889511108398,995.283325195313,529117,6281142,174,WTG-1
